iteration	D_loss	G_loss	Dx_score	DG_score1	DG_score2
1	1.16615	1.39739	0.42286	0.46288	0.61023
601	0.85267	1.88667	0.59389	0.55532	0.4468
1201	0.84885	1.84056	0.58172	0.54559	0.47267
1801	0.77865	1.84227	0.58309	0.53108	0.53441
2401	0.8154	1.80924	0.72618	0.68761	0.62707
3001	0.80556	1.80683	0.76778	0.73239	0.6811
3601	0.80418	1.81877	0.67266	0.62965	0.58127
4201	0.75869	1.81327	0.74542	0.69815	0.64842
4801	0.78354	1.85738	0.73271	0.69153	0.64748
5401	0.7571	1.8913	0.72643	0.67979	0.62698
6001	0.7444	1.94163	0.80269	0.76089	0.69165
6601	0.76706	1.81848	0.76267	0.71803	0.60898
7201	0.74195	1.93828	0.76938	0.72305	0.67923
7801	0.74538	1.93732	0.78848	0.74508	0.71062
8401	0.751	1.86304	0.8001	0.75464	0.7322
9001	0.66497	1.78354	0.81704	0.75867	0.46775
9601	0.76204	1.89147	0.77817	0.73445	0.69876
10201	0.73811	1.87393	0.74294	0.69075	0.65347
10801	0.79771	1.83258	0.76033	0.71775	0.55712
11401	0.75263	1.85544	0.73236	0.68267	0.63974
12001	0.75356	1.86858	0.71135	0.65973	0.62338
12601	0.73994	1.89656	0.7532	0.70203	0.66511
13201	0.68693	1.8871	0.62364	0.55126	0.49863
13801	0.73165	1.88442	0.69245	0.6328	0.59896
14401	0.72709	1.90496	0.67069	0.611	0.57338
15001	0.71479	1.90909	0.68222	0.61717	0.55096
15601	0.72197	2.09232	0.5681	0.49598	0.61605
16201	0.74216	1.89831	0.67722	0.61813	0.57671
16801	0.71318	1.91679	0.68079	0.61725	0.58608
17401	0.71939	1.90094	0.70848	0.65034	0.60055
18001	0.78101	1.98902	0.7592	0.7121	0.42535
18601	0.7302	1.92766	0.67512	0.61236	0.57374
19201	0.72512	1.90123	0.62647	0.55974	0.52959
19801	0.6891	1.96581	0.55962	0.48173	0.44363
20401	0.68998	1.95729	0.61313	0.54039	0.5079
21001	0.70521	1.94471	0.63715	0.56626	0.53363
21601	0.67911	1.95881	0.65081	0.5731	0.53518
